ID Name                 Region    BTC     Smart     Third     Score
-------------------------------------------------------------------
 0 alien_AR             AR      10544    266216     55790   9264.91
35 smdmitry_AR          AR       9520    247356     71543   8901.96
 8 madmax_AR            AR       8352    236072     72295   8526.80
47 chmex_AR             AR       3512    224260     69629   7969.94
16 peer2cloud_AR        AR       7616    207849     22546   6870.78
12 decker_AR            AR       3778    202621     24626   6646.62
20 titomane_AR          AR       2981    180738     36034   6128.38
39 etszombi_AR          AR       2715    154104     36740   5323.00
 4 fullmoon_AR          AR       6758    149720     17904   5015.12
43 marmarachain_AR      AR       2068    138122     27450   4659.90
24 metaphilibert_AR     AR       2152    129550     29789   4442.97
28 indenodes_AR         AR       1630    123044     16903   4016.44
55 mrlynch_AR           AR       1842    100058     40681   3718.45
31 tonyl_AR             AR       1681    103610     24860   3573.80
51 dudezmobi_AR         AR       1134     64503     15801   2230.33
-------------------------------------------------------------------
63 decker_DEV           DEV      1246    159077     17205   5101.02
61 artemii235_DEV       DEV      2020     98592     31013   3528.41
62 tonyl_DEV            DEV      1747     94303     22715   3274.17
60 alright_DEV          DEV      1274     59242         0   1818.26
-------------------------------------------------------------------
 1 alien_EU             EU      11329    291203     82989  10462.43
21 chmex_EU             EU      11570    287582     81055  10316.98
38 cipi_EU              EU      10860    271810     81546   9840.21
 5 phba2061_EU          EU      11235    271171     77154   9749.83
34 node9_EU             EU       9124    270343     78925   9692.88
50 madmax_EU            EU       9817    253051     75187   9135.18
 9 titomane_EU          EU      10640    264861     30090   8832.07
25 etszombi_EU          EU      10871    244245     53426   8564.14
46 oszy_EU              EU       6731    238278     30519   7911.44
58 decker_EU            EU       6345    224705     45804   7723.55
13 indenodes_EU         EU       6370    178820     20003   5911.41
17 pirate_EU            EU       4182    161961     11558   5238.12
54 starfleet_EU         EU       3852    149218     30359   5100.10
30 mihailo_EU           EU       1812    101519     19538   3427.58
42 swisscertifiers_EU   EU       1721     73995     18390   2589.50
-------------------------------------------------------------------
32 alien_NA             NA      12140    282144     76932  10119.45
 2 strob_NA             NA      10853    271466     72149   9667.99
40 pbca26_NA            NA      11457    269911     68754   9592.63
10 cipi_NA              NA       7725    274190     44064   9217.30
14 madmax_NA            NA       9080    259085     70365   9211.71
36 nodeone_NA           NA       9766    260876     62814   9177.77
44 karasugoi_NA         NA       8922    256613     50361   8837.96
18 webworker01_NA       NA       9635    253319     44971   8664.18
56 greer_NA             NA       7793    224094     53350   7846.99
26 pirate_NA            NA       7895    214201     15225   6979.86
52 daemonfox_NA         NA       3768    184694     28662   6164.11
22 indenodes_NA         NA       5880    185010      8634   5907.84
29 chainmakers_NA       NA       2792    178033     17868   5774.52
48 dragonhound_NA       NA       2533    161467     25310   5366.00
 6 fullmoon_NA          NA       4662    147731     26772   5015.25
-------------------------------------------------------------------
49 strob_SH             SH       2197    136136     35669   4730.98
57 mcrypt_SH            SH       3353    136375     29345   4677.38
59 dappvader_SH         SH       2698    129242     31606   4478.49
19 zatjum_SH            SH       2487    115899     29021   4031.49
41 mylo_SH              SH       2198    126290      5922   3997.75
 3 titomane_SH          SH       3595    117195     14972   3893.55
37 gcharang_SH          SH       2231    112981     25697   3877.46
27 metaphilibert_SH     SH       2127    108971     21456   3687.91
45 phm87_SH             SH       2609    109662     11365   3574.08
15 chainzilla_SH        SH       2456    106812     15930   3552.98
33 pungocloud_SH        SH       2624    100719     18839   3410.25
23 patchkez_SH          SH       1636    104124      8476   3330.37
11 indenodes_SH         SH       1886     88633      8505   2872.12
53 nutellalicka_SH      SH       1867     66326     17508   2331.85
 7 fullmoon_SH          SH        678     68965     15052   2330.93
